"X1","X2","X3"
"All","5185","1"
"eA1_1","3943","76.05"
"eA1_10","4193","80.87"
"eA1_100","4031","77.74"
"eA1_11","4109","79.25"
"eA1_12","4033","77.78"
"eA1_13","4139","79.83"
"eA1_14","4038","77.88"
"eA1_15","4025","77.63"
"eA1_16","4052","78.15"
"eA1_17","4036","77.84"
"eA1_18","4151","80.06"
"eA1_19","4083","78.75"
"eA1_2","3946","76.1"
"eA1_20","3944","76.07"
"eA1_21","4116","79.38"
"eA1_22","4052","78.15"
"eA1_23","3639","70.18"
"eA1_24","3674","70.86"
"eA1_25","4048","78.07"
"eA1_26","4035","77.82"
"eA1_27","4022","77.57"
"eA1_28","3855","74.35"
"eA1_29","3838","74.02"
"eA1_3","3942","76.03"
"eA1_30","3845","74.16"
"eA1_31","4076","78.61"
"eA1_32","4031","77.74"
"eA1_33","4118","79.42"
"eA1_34","3628","69.97"
"eA1_35","3788","73.06"
"eA1_36","4005","77.24"
"eA1_37","3999","77.13"
"eA1_38","4050","78.11"
"eA1_39","4136","79.77"
"eA1_4","4083","78.75"
"eA1_40","3938","75.95"
"eA1_41","4052","78.15"
"eA1_42","4020","77.53"
"eA1_43","4070","78.5"
"eA1_44","3990","76.95"
"eA1_45","3773","72.77"
"eA1_46","4129","79.63"
"eA1_47","3785","73"
"eA1_48","4119","79.44"
"eA1_49","4120","79.46"
"eA1_5","3904","75.29"
"eA1_50","3890","75.02"
"eA1_51","4130","79.65"
"eA1_52","4010","77.34"
"eA1_53","3636","70.13"
"eA1_54","3860","74.45"
"eA1_55","4098","79.04"
"eA1_56","4004","77.22"
"eA1_57","3823","73.73"
"eA1_58","3927","75.74"
"eA1_59","4206","81.12"
"eA1_6","3893","75.08"
"eA1_60","3782","72.94"
"eA1_61","3996","77.07"
"eA1_62","3964","76.45"
"eA1_63","4001","77.16"
"eA1_64","4061","78.32"
"eA1_65","4022","77.57"
"eA1_66","3900","75.22"
"eA1_67","3877","74.77"
"eA1_68","3610","69.62"
"eA1_69","3801","73.31"
"eA1_7","4043","77.97"
"eA1_70","3802","73.33"
"eA1_71","3787","73.04"
"eA1_72","3978","76.72"
"eA1_73","3749","72.3"
"eA1_74","3897","75.16"
"eA1_75","4251","81.99"
"eA1_76","4133","79.71"
"eA1_77","4048","78.07"
"eA1_78","3956","76.3"
"eA1_79","3894","75.1"
"eA1_8","4038","77.88"
"eA1_80","3969","76.55"
"eA1_81","3961","76.39"
"eA1_82","3978","76.72"
"eA1_83","4041","77.94"
"eA1_84","4099","79.05"
"eA1_85","3972","76.61"
"eA1_86","3953","76.24"
"eA1_87","4206","81.12"
"eA1_88","4018","77.49"
"eA1_89","4050","78.11"
"eA1_9","3819","73.65"
"eA1_90","3993","77.01"
"eA1_91","4007","77.28"
"eA1_92","4222","81.43"
"eA1_93","4095","78.98"
"eA1_94","4149","80.02"
"eA1_95","4020","77.53"
"eA1_96","4017","77.47"
"eA1_97","4053","78.17"
"eA1_98","4070","78.5"
"eA1_99","3965","76.47"
"eA3_1","4098","79.04"
"eA3_10","4188","80.77"
"eA3_100","3778","72.86"
"eA3_11","3912","75.45"
"eA3_12","3996","77.07"
"eA3_13","4046","78.03"
"eA3_14","4111","79.29"
"eA3_15","3640","70.2"
"eA3_16","4138","79.81"
"eA3_17","3896","75.14"
"eA3_18","4218","81.35"
"eA3_19","4134","79.73"
"eA3_2","3907","75.35"
"eA3_20","4024","77.61"
"eA3_21","4000","77.15"
"eA3_22","4123","79.52"
"eA3_23","4046","78.03"
"eA3_24","4207","81.14"
"eA3_25","3859","74.43"
"eA3_26","4124","79.54"
"eA3_27","4104","79.15"
"eA3_28","3991","76.97"
"eA3_29","3861","74.46"
"eA3_3","3939","75.97"
"eA3_30","3841","74.08"
"eA3_31","4030","77.72"
"eA3_32","4182","80.66"
"eA3_33","3989","76.93"
"eA3_34","3984","76.84"
"eA3_35","4003","77.2"
"eA3_36","4009","77.32"
"eA3_37","3977","76.7"
"eA3_38","3962","76.41"
"eA3_39","4102","79.11"
"eA3_4","3891","75.04"
"eA3_40","4218","81.35"
"eA3_41","4057","78.24"
"eA3_42","4054","78.19"
"eA3_43","3952","76.22"
"eA3_44","4202","81.04"
"eA3_45","4095","78.98"
"eA3_46","3872","74.68"
"eA3_47","3908","75.37"
"eA3_48","3959","76.35"
"eA3_49","3925","75.7"
"eA3_5","4009","77.32"
"eA3_50","4177","80.56"
"eA3_51","3931","75.81"
"eA3_52","4017","77.47"
"eA3_53","3873","74.7"
"eA3_54","4004","77.22"
"eA3_55","4060","78.3"
"eA3_56","4126","79.58"
"eA3_57","4156","80.15"
"eA3_58","4063","78.36"
"eA3_59","4127","79.59"
"eA3_6","3740","72.13"
"eA3_60","4045","78.01"
"eA3_61","3986","76.88"
"eA3_62","4110","79.27"
"eA3_63","4022","77.57"
"eA3_64","4047","78.05"
"eA3_65","4070","78.5"
"eA3_66","4042","77.96"
"eA3_67","3949","76.16"
"eA3_68","3950","76.18"
"eA3_69","3958","76.34"
"eA3_7","4150","80.04"
"eA3_70","4071","78.51"
"eA3_71","4085","78.78"
"eA3_72","4065","78.4"
"eA3_73","4075","78.59"
"eA3_74","4030","77.72"
"eA3_75","4002","77.18"
"eA3_76","3930","75.8"
"eA3_77","3821","73.69"
"eA3_78","4090","78.88"
"eA3_79","4074","78.57"
"eA3_8","4078","78.65"
"eA3_80","4048","78.07"
"eA3_81","3859","74.43"
"eA3_82","3876","74.75"
"eA3_83","3996","77.07"
"eA3_84","4069","78.48"
"eA3_85","3916","75.53"
