"Sample","Reactions in minimal metagenome","% Coverage minimal metagenome"
"All","5185","100"
"eA1_1","3374","65.07"
"eA1_10","2938","56.66"
"eA1_100","2982","57.51"
"eA1_11","3288","63.41"
"eA1_12","3165","61.04"
"eA1_13","2779","53.6"
"eA1_14","2836","54.7"
"eA1_15","3015","58.15"
"eA1_16","2920","56.32"
"eA1_17","3212","61.95"
"eA1_18","2759","53.21"
"eA1_19","2669","51.48"
"eA1_2","3172","61.18"
"eA1_20","3144","60.64"
"eA1_21","3472","66.96"
"eA1_22","3056","58.94"
"eA1_23","2632","50.76"
"eA1_24","3009","58.03"
"eA1_25","3456","66.65"
"eA1_26","3314","63.92"
"eA1_27","2604","50.22"
"eA1_28","3074","59.29"
"eA1_29","3119","60.15"
"eA1_3","3036","58.55"
"eA1_30","3251","62.7"
"eA1_31","3049","58.8"
"eA1_32","3307","63.78"
"eA1_33","3299","63.63"
"eA1_34","2658","51.26"
"eA1_35","3329","64.2"
"eA1_36","2699","52.05"
"eA1_37","2625","50.63"
"eA1_38","2713","52.32"
"eA1_39","2749","53.02"
"eA1_4","3285","63.36"
"eA1_40","2801","54.02"
"eA1_41","3346","64.53"
"eA1_42","3220","62.1"
"eA1_43","3163","61"
"eA1_44","2624","50.61"
"eA1_45","3005","57.96"
"eA1_46","2904","56.01"
"eA1_47","3089","59.58"
"eA1_48","2736","52.77"
"eA1_49","2556","49.3"
"eA1_5","3234","62.37"
"eA1_50","3393","65.44"
"eA1_51","2427","46.81"
"eA1_52","3308","63.8"
"eA1_53","3667","70.72"
"eA1_54","2857","55.1"
"eA1_55","3095","59.69"
"eA1_56","3029","58.42"
"eA1_57","3227","62.24"
"eA1_58","3166","61.06"
"eA1_59","3250","62.68"
"eA1_6","3303","63.7"
"eA1_60","2906","56.05"
"eA1_61","3001","57.88"
"eA1_62","2695","51.98"
"eA1_63","2465","47.54"
"eA1_64","2933","56.57"
"eA1_65","2392","46.13"
"eA1_66","3632","70.05"
"eA1_67","2439","47.04"
"eA1_68","2917","56.26"
"eA1_69","3247","62.62"
"eA1_7","3205","61.81"
"eA1_70","2915","56.22"
"eA1_71","2791","53.83"
"eA1_72","3333","64.28"
"eA1_73","3021","58.26"
"eA1_74","3084","59.48"
"eA1_75","3083","59.46"
"eA1_76","2814","54.27"
"eA1_77","3189","61.5"
"eA1_78","3024","58.32"
"eA1_79","2593","50.01"
"eA1_8","3390","65.38"
"eA1_80","3236","62.41"
"eA1_81","3267","63.01"
"eA1_82","3006","57.97"
"eA1_83","2555","49.28"
"eA1_84","2684","51.76"
"eA1_85","2746","52.96"
"eA1_86","2546","49.1"
"eA1_87","3380","65.19"
"eA1_88","3143","60.62"
"eA1_89","3050","58.82"
"eA1_9","3005","57.96"
"eA1_90","2554","49.26"
"eA1_91","3159","60.93"
"eA1_92","3015","58.15"
"eA1_93","2660","51.3"
"eA1_94","3347","64.55"
"eA1_95","2904","56.01"
"eA1_96","3102","59.83"
"eA1_97","3016","58.17"
"eA1_98","3058","58.98"
"eA1_99","2740","52.84"
"eA3_1","2486","47.95"
"eA3_10","2644","50.99"
"eA3_100","2814","54.27"
"eA3_11","2388","46.06"
"eA3_12","2815","54.29"
"eA3_13","3253","62.74"
"eA3_14","3096","59.71"
"eA3_15","3128","60.33"
"eA3_16","2725","52.56"
"eA3_17","3240","62.49"
"eA3_18","3082","59.44"
"eA3_19","3092","59.63"
"eA3_2","2917","56.26"
"eA3_20","3200","61.72"
"eA3_21","2667","51.44"
"eA3_22","2809","54.18"
"eA3_23","2975","57.38"
"eA3_24","3040","58.63"
"eA3_25","3091","59.61"
"eA3_26","2848","54.93"
"eA3_27","2862","55.2"
"eA3_28","3107","59.92"
"eA3_29","3014","58.13"
"eA3_3","2821","54.41"
"eA3_30","3034","58.51"
"eA3_31","2697","52.02"
"eA3_32","2538","48.95"
"eA3_33","3103","59.85"
"eA3_34","2524","48.68"
"eA3_35","2614","50.41"
"eA3_36","2893","55.8"
"eA3_37","2796","53.92"
"eA3_38","3109","59.96"
"eA3_39","2518","48.56"
"eA3_4","2715","52.36"
"eA3_40","3081","59.42"
"eA3_41","2961","57.11"
"eA3_42","3366","64.92"
"eA3_43","2723","52.52"
"eA3_44","3226","62.22"
"eA3_45","3380","65.19"
"eA3_46","3288","63.41"
"eA3_47","2987","57.61"
"eA3_48","2998","57.82"
"eA3_49","2762","53.27"
"eA3_5","3160","60.95"
"eA3_50","3035","58.53"
"eA3_51","3081","59.42"
"eA3_52","2904","56.01"
"eA3_53","2511","48.43"
"eA3_54","3422","66"
"eA3_55","2901","55.95"
"eA3_56","2600","50.14"
"eA3_57","2934","56.59"
"eA3_58","2940","56.7"
"eA3_59","2779","53.6"
"eA3_6","3268","63.03"
"eA3_60","2866","55.27"
"eA3_61","2752","53.08"
"eA3_62","2765","53.33"
"eA3_63","2841","54.79"
"eA3_64","2612","50.38"
"eA3_65","2675","51.59"
"eA3_66","2824","54.46"
"eA3_67","3076","59.32"
"eA3_68","3783","72.96"
"eA3_69","3412","65.81"
"eA3_7","2655","51.21"
"eA3_70","2775","53.52"
"eA3_71","2959","57.07"
"eA3_72","3139","60.54"
"eA3_73","3065","59.11"
"eA3_74","2957","57.03"
"eA3_75","2973","57.34"
"eA3_76","2236","43.12"
"eA3_77","3106","59.9"
