"Sample","Reactions in minimal metagenome","% Coverage minimal metagenome"
"All","5185","1"
"eA1_1","2839","54.75"
"eA1_10","3393","65.44"
"eA1_100","3055","58.92"
"eA1_11","3093","59.65"
"eA1_12","2902","55.97"
"eA1_13","3108","59.94"
"eA1_14","3243","62.55"
"eA1_15","3383","65.25"
"eA1_16","3591","69.26"
"eA1_17","3825","73.77"
"eA1_18","3524","67.97"
"eA1_19","3274","63.14"
"eA1_2","3700","71.36"
"eA1_20","3469","66.9"
"eA1_21","3565","68.76"
"eA1_22","3369","64.98"
"eA1_23","3332","64.26"
"eA1_24","3187","61.47"
"eA1_25","3677","70.92"
"eA1_26","3411","65.79"
"eA1_27","3385","65.28"
"eA1_28","3250","62.68"
"eA1_29","3347","64.55"
"eA1_3","3847","74.19"
"eA1_30","3884","74.91"
"eA1_31","3373","65.05"
"eA1_32","2624","50.61"
"eA1_33","3146","60.68"
"eA1_34","3187","61.47"
"eA1_35","3625","69.91"
"eA1_36","3456","66.65"
"eA1_37","3063","59.07"
"eA1_38","3361","64.82"
"eA1_39","3587","69.18"
"eA1_4","3498","67.46"
"eA1_40","3447","66.48"
"eA1_41","2584","49.84"
"eA1_42","3453","66.6"
"eA1_43","2737","52.79"
"eA1_44","3732","71.98"
"eA1_45","3498","67.46"
"eA1_46","3159","60.93"
"eA1_47","3518","67.85"
"eA1_48","3605","69.53"
"eA1_49","3106","59.9"
"eA1_5","3556","68.58"
"eA1_50","3578","69.01"
"eA1_51","3451","66.56"
"eA1_52","3432","66.19"
"eA1_53","2896","55.85"
"eA1_54","4114","79.34"
"eA1_55","3607","69.57"
"eA1_56","3334","64.3"
"eA1_57","3103","59.85"
"eA1_58","3404","65.65"
"eA1_59","3516","67.81"
"eA1_6","3055","58.92"
"eA1_60","3511","67.71"
"eA1_61","3402","65.61"
"eA1_62","3732","71.98"
"eA1_63","3111","60"
"eA1_64","3785","73"
"eA1_65","3108","59.94"
"eA1_66","3264","62.95"
"eA1_67","3904","75.29"
"eA1_68","3784","72.98"
"eA1_69","3134","60.44"
"eA1_7","3606","69.55"
"eA1_70","3429","66.13"
"eA1_71","3469","66.9"
"eA1_72","3356","64.73"
"eA1_73","3073","59.27"
"eA1_74","3641","70.22"
"eA1_75","3050","58.82"
"eA1_76","3321","64.05"
"eA1_77","3230","62.3"
"eA1_78","3524","67.97"
"eA1_79","3074","59.29"
"eA1_8","3735","72.03"
"eA1_80","3536","68.2"
"eA1_81","3822","73.71"
"eA1_82","3150","60.75"
"eA1_83","2942","56.74"
"eA1_84","3219","62.08"
"eA1_85","3444","66.42"
"eA1_86","3618","69.78"
"eA1_87","3565","68.76"
"eA1_88","3349","64.59"
"eA1_89","3491","67.33"
"eA1_9","3412","65.81"
"eA1_90","3416","65.88"
"eA1_91","3236","62.41"
"eA1_92","3683","71.03"
"eA1_93","2997","57.8"
"eA1_94","3104","59.86"
"eA1_95","3496","67.43"
"eA1_96","3307","63.78"
"eA1_97","3900","75.22"
"eA1_98","3838","74.02"
"eA1_99","3156","60.87"
"eA3_1","3078","59.36"
"eA3_10","3155","60.85"
"eA3_100","3241","62.51"
"eA3_11","3660","70.59"
"eA3_12","3850","74.25"
"eA3_13","3710","71.55"
"eA3_14","3077","59.34"
"eA3_15","3019","58.23"
"eA3_16","3370","65"
"eA3_17","3788","73.06"
"eA3_18","3309","63.82"
"eA3_19","3080","59.4"
"eA3_2","3421","65.98"
"eA3_20","3418","65.92"
