Muestra	Soil	Tipo	Juntar
A2	A	Soil	7
A3	A	Soil	7
B1	B	Soil	17
B2	B	Soil	17
B3	B	Soil	17
C1	C	Soil	26
D1	D	Soil	30
D2	D	Soil	30
D3	D	Soil	30
E1	E	Soil	39
E2	E	Soil	39
E3	E	Soil	39
eA1	A	Rhizosphere	3
eA3	A	Rhizosphere	2
eA4	A	Rhizosphere	4
eA5	A	Rhizosphere	6
eA6	A	Rhizosphere	5
eA7	A	Rhizosphere	1
eB1	B	Rhizosphere	12
eB2	B	Rhizosphere	15
eB3	B	Rhizosphere	11
eB4	B	Rhizosphere	13
eB6	B	Rhizosphere	14
eB7	B	Rhizosphere	9
eB8	B	Rhizosphere	10
eB9	B	Rhizosphere	16
eC1	C	Rhizosphere	21
eC2	C	Rhizosphere	22
eC3	C	Rhizosphere	20
eC4	C	Rhizosphere	23
eC5	C	Rhizosphere	24
eC6	C	Rhizosphere	25
eD2	D	Rhizosphere	27
eD4	D	Rhizosphere	28
eD5	D	Rhizosphere	29
eE1	E	Rhizosphere	36
eE2	E	Rhizosphere	37
eE5	E	Rhizosphere	38
eE6	E	Rhizosphere	35
eE7	E	Rhizosphere	33
eE8	E	Rhizosphere	34
eF1	F	Rhizosphere	46
eF2	F	Rhizosphere	47
eF3	F	Rhizosphere	48
eF4	F	Rhizosphere	49
eF5	F	Rhizosphere	43
eF6	F	Rhizosphere	42
eF7	F	Rhizosphere	45
eF8	F	Rhizosphere	44
eG1	G	Rhizosphere	52
eG3	G	Rhizosphere	51
eG4	G	Rhizosphere	55
eG6	G	Rhizosphere	53
eG7	G	Rhizosphere	54
eH2	H	Rhizosphere	59
eH3	H	Rhizosphere	61
eH5	H	Rhizosphere	62
eH7	H	Rhizosphere	60
F3	F	Soil	50
G1	G	Soil	56
G2	G	Soil	56
G3	G	Soil	56
H2	H	Soil	63
