Muestra	Soil	Tipo	Ojo	Juntar
eA7	A	Rhizosphere	Si	1
eA3	A	Rhizosphere	Si	2
eA1	A	Rhizosphere	Si	3
eA4	A	Rhizosphere	Si	4
eA6	A	Rhizosphere	Si	5
eA5	A	Rhizosphere	Si	6
A2	A	Soil	Si	7
A3	A	Soil	Si	7
eB7	B	Rhizosphere	Si	9
eB8	B	Rhizosphere	Si	10
eB3	B	Rhizosphere	Si	11
eB1	B	Rhizosphere	Si	12
eB4	B	Rhizosphere	Si	13
eB6	B	Rhizosphere	Si	14
eB2	B	Rhizosphere	Si	15
eB9	B	Rhizosphere	Si	16
B1	B	Soil	Si	17
B2	B	Soil	Si	17
B3	B	Soil	Si	17
eC3	C	Rhizosphere	Si	20
eC1	C	Rhizosphere	Si	21
eC2	C	Rhizosphere	Si	22
eC4	C	Rhizosphere	Si	23
eC5	C	Rhizosphere	Si	24
eC6	C	Rhizosphere	Si	25
C1	C	Soil	Si	26
eD2	D	Rhizosphere	Si	27
eD4	D	Rhizosphere	Si	28
eD5	D	Rhizosphere	Si	29
D1	D	Soil	Si	30
D2	D	Soil	Si	30
D3	D	Soil	Si	30
eE7	E	Rhizosphere	Si	33
eE8	E	Rhizosphere	Si	34
eE6	E	Rhizosphere	Si	35
eE1	E	Rhizosphere	Si	36
eE2	E	Rhizosphere	Si	37
eE5	E	Rhizosphere	Si	38
E1	E	Soil	Si	39
E2	E	Soil	Si	39
E3	E	Soil	Si	39
eF6	F	Rhizosphere	Si	42
eF5	F	Rhizosphere	Si	43
eF8	F	Rhizosphere	Si	44
eF7	F	Rhizosphere	Si	45
eF1	F	Rhizosphere	Si	46
eF2	F	Rhizosphere	Si	47
eF3	F	Rhizosphere	Si	48
eF4	F	Rhizosphere	Si	49
F3	F	Soil	Si	50
eG3	G	Rhizosphere	Si	51
eG1	G	Rhizosphere	Si	52
eG6	G	Rhizosphere	Si	53
eG7	G	Rhizosphere	Si	54
eG4	G	Rhizosphere	Si	55
G1	G	Soil	Si	56
G2	G	Soil	Si	56
G3	G	Soil	Si	56
eH2	H	Rhizosphere	Si	59
eH7	H	Rhizosphere	Si	60
eH3	H	Rhizosphere	Si	61
eH5	H	Rhizosphere	Si	62
H2	H	Soil	Si	63
eA2	A	Rhizosphere	No	64
A1	A	Soil	No	65
eB5	B	Rhizosphere	No	66
eB10	B	Rhizosphere	No	67
eC7	C	Rhizosphere	No	68
C2	C	Soil	No	69
C3	C	Soil	No	69
eD1	D	Rhizosphere	No	71
eD7	D	Rhizosphere	No	72
eD3	D	Rhizosphere	No	73
eD6	D	Rhizosphere	No	74
eE3	E	Rhizosphere	No	75
eE4	E	Rhizosphere	No	76
eF9	F	Rhizosphere	No	77
F1	F	Soil	No	78
F2	F	Soil	No	78
eG2	G	Rhizosphere	No	80
eG8	G	Rhizosphere	No	81
eH4	H	Rhizosphere	No	82
eH1	H	Rhizosphere	No	83
eH6	H	Rhizosphere	No	84
eH8	H	Rhizosphere	No	85
eH10	H	Rhizosphere	No	86
H1	H	Soil	No	87
H3	H	Soil	No	87
negExtr1	N	Control	No	89
negExtr2	N	Control	No	90
neg1	N	Control	No	91
neg2	N	Control	No	92
neg3	N	Control	No	93
neg4	N	Control	No	94
neg5	N	Control	No	95
neg6	N	Control	No	96
